unit_id,t_id,global_state,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_18164,WD_AM,G7,0.0,0.0,0.0,0.0,9.376597891945767e-62,0.0,0.9999999999989999
plot_18165,WD_AM,G7,0.0,0.0,0.0,0.0,1.7899226038850962e-62,0.0,0.9999999999989999
plot_18166,WD_AM,G7,0.0,0.0,0.0,0.0,2.4894609135119827e-62,0.0,0.9999999999989999
plot_18167,WD_AM,G7,0.0,5.333756349977234e-33,0.0,0.0,8.751913701062037e-61,0.0,0.9999999999989999
plot_18168,WD_AM,G7,0.0,7.926552746860742e-31,0.0,0.0,1.7371565203231218e-59,0.0,0.9999999999989999
plot_18169,WD_AM,G7,0.0,1.2642654400154052e-30,0.0,0.0,1.8473248501038184e-59,0.0,0.9999999999989999
plot_18170,WD_AM,G7,0.0,7.3653502394064255e-31,0.0,0.0,1.8940498281655643e-59,0.0,0.9999999999989999
plot_18171,WD_AM,G6,0.0,6.481875272517082e-22,0.0,0.0,1.6115000124627378e-38,0.9999999999989999,0.0
plot_18175,WD_AM,G7,0.0,0.0,0.0,0.0,3.301561483698984e-61,0.0,0.9999999999989999
plot_18176,WD_AM,G7,0.0,5.953021562708111e-30,0.0,0.0,2.3539932904018683e-58,0.0,0.9999999999989999
plot_18178,WD_AM,G7,0.0,1.186116924640085e-34,0.0,0.0,1.813219076235206e-57,0.0,0.9999999999989999
plot_18184,WD_AM,G6,0.0,1.692055158276227e-23,0.0,0.0,2.764012329199308e-38,0.9999999999989999,0.0
plot_18185,WD_AM,G7,0.0,2.8337410239688694e-30,0.0,0.0,3.3901375478366736e-58,0.0,0.9999999999989999
plot_18186,WD_AM,G7,0.0,2.887698049020122e-23,0.0,0.0,2.0835088315347008e-53,0.0,0.9999999999989999
plot_18187,WD_AM,G7,0.0,2.2155015313404638e-24,0.0,0.0,1.6048032908580098e-53,0.0,0.9999999999989999
plot_18188,WD_AM,G7,0.0,0.0,0.0,0.0,1.3119463939281363e-62,0.0,0.9999999999989999
plot_18189,WD_AM,G7,0.0,1.7801664969759975e-30,0.0,0.0,1.5811856966682875e-59,0.0,0.9999999999989999
plot_18190,WD_AM,G7,0.0,0.0,0.0,0.0,1.4720253728329147e-62,0.0,0.9999999999989999
plot_18198,WD_AM,G7,0.0,1.3205081158254631e-27,0.0,0.0,4.382878853818698e-58,0.0,0.9999999999989999
plot_182,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,1.473882008775159e-28,0.0,0.0
plot_18206,WD_AM,G7,0.0,6.193772786090392e-33,0.0,0.0,9.354570796287294e-61,0.0,0.9999999999989999
plot_18207,WD_AM,G7,0.0,3.770091998600847e-30,0.0,0.0,2.7804186036766455e-60,0.0,0.9999999999989999
plot_18208,WD_AM,G7,0.0,7.037995641463522e-30,0.0,0.0,1.364894803310366e-59,0.0,0.9999999999989999
plot_18209,WD_AM,G7,0.0,4.1242937167622936e-29,0.0,0.0,2.9968247347392433e-59,0.0,0.9999999999989999
plot_18210,WD_AM,G7,0.0,9.305771413380219e-34,0.0,0.0,1.0439011406488364e-59,0.0,0.9999999999989999
plot_18211,WD_AM,G1,0.9999999999993615,2.4852915892812023e-16,0.0,0.0,3.867945280399418e-42,0.0,0.0
plot_18212,WD_AM,G3,0.0,1.940855901048087e-16,0.9999999999991874,0.0,1.884859721814304e-42,0.0,0.0
plot_18213,WD_AM,G7,0.0,0.0,0.0,0.0,6.50512896568483e-15,0.0,0.9999999999989935
plot_18214,WD_AM,G7,0.0,3.876296978268101e-24,0.0,0.0,1.1806006607404717e-51,0.0,0.9999999999989999
plot_18215,WD_AM,G5,0.0,0.0,0.0,0.0,0.999999999999095,0.0,0.0
