unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_16033,2,0.40597924030993215,4,0.0,0.0,0.0863030008584866,0.0018272130914637444,0.5940207596865503,0.31784902636349943,2.4997244589821497e-82
plot_16034,2,0.33391729847649154,5,0.0,2.6298136125155206e-146,0.04870117760974553,0.0035103338446077484,0.2817057870221382,0.6660827015235085,5.9327333761285126e-83
plot_16035,2,0.18169151773025585,5,0.0,2.08068213539692e-146,0.01564870187962593,0.0007214064451986348,0.16532140940543133,0.8183084822697442,4.995880820128121e-171
plot_16036,2,0.2657980374520491,4,0.0,0.0010808055236970712,0.16931349847483745,0.040632665418869514,0.7342019625479509,0.054771068034645036,2.820814291163463e-81
plot_16037,2,0.210945834694946,4,0.02065490130973874,0.0,0.011484794188980026,0.0,0.789054165305054,0.069920594343545,0.10888554485268223
plot_16038,2,0.4001460933630149,4,0.0,0.0,0.2519279218177166,0.0,0.5998539066369851,0.14752833109358043,0.0006898404517178067
plot_16041,2,0.02646287500579226,4,0.0033892885561319125,0.0,0.0,0.008784570571551265,0.9735371249942077,0.014289015878109084,2.271246672815298e-250
plot_1607,2,0.20733371444908832,1,0.07841789680968721,0.7926662855507851,0.0,0.10298690451229114,1.5160060355136145e-06,0.007121145924634081,0.01880625119656679
plot_16073,2,0.021409007356565816,1,0.0,0.9785909926434334,0.0,0.0,0.009194805282756832,0.00799162953548018,0.004222572538329623
plot_16074,2,0.12317678877757415,0,0.8768232112224259,0.01332817182891108,0.0,0.0,0.10293114632576142,2.0442547175489303e-06,0.00691542636818415
plot_16075,2,0.03124987899046849,0,0.9687501210095315,0.0,0.020115026963838992,0.0,0.0037215176976006263,2.0130656996775157e-23,0.0074133343290288724
plot_16076,2,0.11540463655266475,0,0.8845953634473354,0.0,0.001743828617520254,0.0,0.02437388601469761,0.0062303721109210905,0.08305654980952588
plot_16077,2,0.3308894718377417,0,0.6691105281622584,0.0026540701053543616,0.12917578363543833,0.0,0.0998797121299005,1.7238035743393914e-15,0.09917990596704673
plot_16078,2,0.28857484028065716,0,0.7114251597193428,0.005701480129124289,0.10308063878478824,0.0,0.0012781365894667105,1.371027213026047e-22,0.17851458477727788
plot_16079,2,0.3052360737371027,0,0.6947639262628973,0.0019938497008422902,0.10893396744298843,0.0,0.1457357878811228,3.196094683205656e-16,0.048572468712148806
plot_1608,2,0.19959091354728178,1,0.0,0.8004090864517025,0.0630598223841684,0.0,0.12143261362843533,0.008832341102360142,0.006266136433333735
plot_16080,2,0.2329703467553803,0,0.7670296532446197,0.006199679934995877,0.0032403845351738885,0.0,0.08538477487624307,1.825754443016776e-17,0.1381455074089675
plot_16081,2,0.27830165664293977,0,0.7216983433570603,0.00374878983676583,0.0016583516364696517,0.005195986481765875,0.008142799525635173,0.2573962743820921,0.0021594547802111447
plot_16088,2,0.5137951914451488,2,0.0877891493180322,0.0017597442588910325,0.4862048085548511,0.0,0.009284853298336447,3.672789305364339e-26,0.41496144456988926
plot_16089,2,0.28202960597886834,0,0.7179703940211316,0.000770346349856915,0.11031078607361061,0.0,0.15933415153436545,3.6331089983541257e-16,0.011614322021034995
plot_1609,2,0.16931451506744974,1,0.0,0.8306854849317837,0.009078657677602606,0.0,0.15187948912523624,0.008356368265377277,1.7968946941177737e-105
plot_16091,2,0.5777064213095378,0,0.42229357869046225,0.4046227042418885,0.0,0.006128752250204413,8.562279724087763e-08,0.07812707273065009,0.08882780646399757
plot_16092,2,0.1797911227422888,6,0.07179491247513083,0.013702931073434002,0.08131855362629681,0.0011964396259272175,0.009020133345198973,0.0027581525963010097,0.8202088772577112
plot_16095,2,0.2955580501378858,0,0.7044419498621143,0.0017011057527713846,0.005604310718089217,0.04349841851782532,0.05261665464517685,0.18751662300847122,0.004620937495551789
plot_16099,2,0.20055796000630813,0,0.7994420399936919,0.0017064343169701968,0.005140009387280957,0.0,0.03063044414122738,2.471351156077951e-17,0.1630810721608296
plot_161,2,0.4542439887660581,2,4.152214081582025e-13,0.0,0.5457560112339419,0.0,0.32155330462581655,0.013198519394048841,0.11949216474577748
plot_16100,2,0.32087985463151864,0,0.6791201453684814,0.000486911705631618,0.10577767372227741,0.0008923587568294771,0.1030494023566712,2.2027697604173032e-15,0.11067350809010675
plot_16114,2,0.15675650711158945,1,0.0,0.8432434928883838,0.0012115088175574577,0.1525847623434779,2.5321517754890584e-14,0.00296023595055555,0.0
plot_16115,2,0.5410054541965145,1,0.0,0.5378296156390994,0.0013478864284045104,0.45899454580348553,2.0752081161181932e-14,0.0018279521289898347,0.0
plot_16116,2,0.17601239392681856,1,0.0,0.8239876060731207,0.0,0.1743845222291553,6.000910523255246e-14,0.0016278716976639359,0.0
plot_16117,2,0.4602151196340792,3,0.0,0.20049683549342517,0.17874535166781083,0.5397848803659209,0.005539222570723923,0.07417850199737278,0.0012552079047465053
plot_16120,2,0.5087679247219982,2,0.0,0.15052435768566066,0.49123207527800183,0.09537832462587831,0.07944055861716977,0.18342468379328927,2.527763228517317e-91
plot_16121,2,0.16406712132273246,1,0.0,0.8359328786772675,0.015868120619375408,0.0050266494739364485,1.0860919472531109e-13,0.143172351229312,0.0
plot_16122,2,0.2114489919471707,1,7.291938406364175e-65,0.7885510080528293,0.07113468380424143,0.002829430246799768,1.1520570710229528e-13,0.13748487789601432,1.1876660265612427e-240
plot_16123,2,0.18022592133949447,1,0.0,0.8197740786605054,0.0014003890324006923,0.17692637815043727,1.0634768184379638e-14,0.0018991541566457798,0.0
plot_16124,2,0.5040131485125533,3,0.0,0.48466172908595245,0.010718244041223865,0.49598685148744664,1.5063143893719657e-14,0.0082338568728143,0.00039931851254748814
plot_16125,2,0.1228713846155371,1,0.0,0.8771286153843987,0.0,0.11672689365009269,6.532868883761104e-14,0.006144490965443417,0.0
plot_16126,2,0.17243291453655296,1,0.0,0.827567085463447,0.0069831043070663346,0.0881845501787952,2.436098579041892e-14,0.07726526005066706,0.0
plot_16127,2,0.11879119816526604,1,1.0265817592636446e-280,0.8812088018347285,0.0,0.11879119816526613,5.422872443326184e-15,0.0,0.0
plot_16136,2,0.0008825790465334249,1,0.0,0.9991174209534658,0.0,0.0008825790464970611,3.7189899576701816e-14,4.818431373790542e-27,0.0
plot_16137,2,0.4908115739079398,4,0.0,0.48229228356094417,0.0,0.0,0.50918842609206,0.008519290346995875,2.0746967757865035e-21
