unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_15729,635.0802307128906,317.5401153564453,2,13434.882959571514,47270.99094379796
plot_930,2176.575164794922,362.7625274658203,6,54027.88627090567,40286.14323131535
plot_15740,821.1707763671875,410.58538818359375,2,9548.627642322872,85998.82696519342
plot_15744,415.30816650390625,415.30816650390625,1,11467.0992537312,36217.36912835843
plot_15724,575.3551025390625,287.67755126953125,2,12846.331477198853,44787.50245237474
plot_18972,0.0,0.0,0,1129.5663645119985,0.0
plot_18949,0.0,0.0,0,1375.826783533151,0.0
plot_18112,0.0,0.0,0,627.0719925450135,0.0
plot_19370,0.0,0.0,0,1125.653311185624,0.0
plot_12097,0.0,0.0,0,2268.443589241619,0.0
plot_18689,0.0,0.0,0,1319.1610736860953,0.0
plot_10430,0.0,0.0,0,1319.8344662934899,0.0
plot_18690,711.9725341796875,711.9725341796875,1,1432.2149197818608,497112.91534941376
plot_18111,0.0,0.0,0,725.2447192170272,0.0
plot_11478,0.0,0.0,0,358.5388043446546,0.0
plot_18049,940.2382202148438,940.2382202148438,1,30052.249595930803,31286.783281014537
plot_12098,0.0,0.0,0,2042.1725841251196,0.0
plot_16075,0.0,0.0,0,5707.401605889139,0.0
plot_12100,1021.1962890625,1021.1962890625,1,2053.5459106011767,497284.37226102443
plot_12099,0.0,0.0,0,1514.8677124421376,0.0
plot_18452,1041.9066162109375,1041.9066162109375,1,2193.6107331356407,474973.33983299386
plot_18729,0.0,0.0,0,2013.6165846976623,0.0
plot_18882,1043.8536376953125,1043.8536376953125,1,3229.872445704917,323187.26365910476
plot_18883,0.0,0.0,0,740.0799601314636,0.0
plot_18282,0.0,0.0,0,2810.0646664177657,0.0
plot_12096,0.0,0.0,0,660.9531712350823,0.0
plot_11477,0.0,0.0,0,1627.4069345732203,0.0
